slug,tag,tag_slug,is_topic
aivolved,affection,affection,true
aivolved,AI,ai,true
aivolved,Chapter 2,chapter-2,false
aivolved,chatbot,chatbot,true
aivolved,companion,companion,true
aivolved,love,love,true
aivolved,philosophy,philosophy,true
aivolved,poetry,poetry,false
aivolved,virtual,virtual,true
aivolved,VR,vr,true
autumn-prelude,autumn,autumn,true
autumn-prelude,cycle,cycle,true
autumn-prelude,interlude,interlude,true
autumn-prelude,life,life,true
autumn-prelude,philosophy,philosophy,true
autumn-prelude,seasons,seasons,true
betrayal,betrayal,betrayal,true
betrayal,fear,fear,true
betrayal,friend,friend,true
betrayal,grief,grief,true
betrayal,loss,loss,true
betrayal,poetry,poetry,false
blue-canary,alarm,alarm,true
blue-canary,animals,animals,true
blue-canary,biologist,biologist,true
blue-canary,canary,canary,true
blue-canary,change,change,true
blue-canary,Chapter 3,chapter-3,false
blue-canary,climate,climate,true
blue-canary,loss,loss,true
blue-canary,ocean,ocean,true
blue-canary,poetry,poetry,false
blue-canary,warning,warning,true
blue-canary,whales,whales,true
farmer-and-the-one-eyed-likho,bad luck,bad-luck,true
farmer-and-the-one-eyed-likho,Chapter 4,chapter-4,false
farmer-and-the-one-eyed-likho,envy,envy,true
farmer-and-the-one-eyed-likho,fable,fable,true
farmer-and-the-one-eyed-likho,greed,greed,true
farmer-and-the-one-eyed-likho,likho,likho,true
farmer-and-the-one-eyed-likho,misfortune,misfortune,true
farmer-and-the-one-eyed-likho,mythology,mythology,true
farmer-and-the-one-eyed-likho,poetry,poetry,false
farmer-and-the-one-eyed-likho,slavic,slavic,true
fears-unlisted,Chapter 2,chapter-2,false
fears-unlisted,death,death,true
fears-unlisted,fear,fear,true
fears-unlisted,loss,loss,true
fears-unlisted,poetry,poetry,false
koschei-and-the-prince,Chapter 4,chapter-4,false
koschei-and-the-prince,fable,fable,true
koschei-and-the-prince,immortality,immortality,true
koschei-and-the-prince,koschei,koschei,true
koschei-and-the-prince,life,life,true
koschei-and-the-prince,mythology,mythology,true
koschei-and-the-prince,poetry,poetry,false
koschei-and-the-prince,slavic,slavic,true
leshy-and-the-hunter,Chapter 4,chapter-4,false
leshy-and-the-hunter,death,death,true
leshy-and-the-hunter,forest,forest,true
leshy-and-the-hunter,hunter,hunter,true
leshy-and-the-hunter,killing,killing,true
leshy-and-the-hunter,leshy,leshy,true
leshy-and-the-hunter,loss,loss,true
leshy-and-the-hunter,mythology,mythology,true
leshy-and-the-hunter,slavic,slavic,true
linocut,Chapter 2,chapter-2,false
linocut,death,death,true
linocut,legacy,legacy,true
linocut,life,life,true
linocut,memory,memory,true
linocut,poetry,poetry,false
linocut,rememberance,rememberance,true
love-in-the-c-and-d-key,life,life,true
love-in-the-c-and-d-key,love,love,true
love-in-the-c-and-d-key,poetry,poetry,false
love-in-the-c-and-d-key,toast,toast,true
map-i-eulogy-to-unborn,cartographer,cartographer,true
map-i-eulogy-to-unborn,Chapter 1,chapter-1,false
map-i-eulogy-to-unborn,children,children,true
map-i-eulogy-to-unborn,eulogy,eulogy,true
map-i-eulogy-to-unborn,loss,loss,true
map-i-eulogy-to-unborn,map,map,true
map-i-eulogy-to-unborn,poetry,poetry,false
map-i-eulogy-to-unborn,war,war,true
map-ii-road-that-only-goes-out,Chapter 1,chapter-1,false
map-ii-road-that-only-goes-out,conflict,conflict,true
map-ii-road-that-only-goes-out,escape,escape,true
map-ii-road-that-only-goes-out,journey,journey,true
map-ii-road-that-only-goes-out,memory,memory,true
map-ii-road-that-only-goes-out,migrants,migrants,true
map-ii-road-that-only-goes-out,poetry,poetry,false
map-ii-road-that-only-goes-out,refuge,refuge,true
map-ii-road-that-only-goes-out,silent cartographer,silent-cartographer,true
map-ii-road-that-only-goes-out,war,war,true
map-iii-skirmish-on-the-border,border,border,true
map-iii-skirmish-on-the-border,cartographer,cartographer,true
map-iii-skirmish-on-the-border,change,change,true
map-iii-skirmish-on-the-border,Chapter 1,chapter-1,false
map-iii-skirmish-on-the-border,conflict,conflict,true
map-iii-skirmish-on-the-border,map,map,true
map-iii-skirmish-on-the-border,nation,nation,true
map-iii-skirmish-on-the-border,war,war,true
october-readme,biologist,biologist,true
october-readme,cartographer,cartographer,true
october-readme,change,change,true
october-readme,ethnographer,ethnographer,true
october-readme,philosopher,philosopher,true
october-readme,poetry,poetry,false
october-readme,Prologue,prologue,false
overflow,Chapter 2,chapter-2,false
overflow,ideas,ideas,true
overflow,poet,poet,true
overflow,poetry,poetry,false
overflow,reflection,reflection,true
overflow,thinking,thinking,true
overflow,writing,writing,true
paintbox,change,change,true
paintbox,Chapter 2,chapter-2,false
paintbox,choices,choices,true
paintbox,life,life,true
paintbox,loss,loss,true
paintbox,poetry,poetry,false
paintbox,reflection,reflection,true
prologue,change,change,true
prologue,coping,coping,true
prologue,grief,grief,true
prologue,loss,loss,true
prologue,poetry,poetry,false
prologue,Prologue,prologue,false
prologue,trauma,trauma,true
the-gift,Chapter 3,chapter-3,false
the-gift,death,death,true
the-gift,deathbed,deathbed,true
the-gift,dying,dying,true
the-gift,grandparents,grandparents,true
the-gift,grief,grief,true
the-gift,loss,loss,true
the-gift,memory,memory,true
the-gift,parents,parents,true
the-gift,poetry,poetry,false
the-gift,sorrow,sorrow,true
the-other-shoe,life,life,true
the-other-shoe,memory,memory,true
the-other-shoe,poetry,poetry,false
these-pets-of-mine,ambition,ambition,true
these-pets-of-mine,anger,anger,true
these-pets-of-mine,biologist,biologist,true
these-pets-of-mine,Chapter 3,chapter-3,false
these-pets-of-mine,desire,desire,true
these-pets-of-mine,dreams,dreams,true
these-pets-of-mine,drive,drive,true
these-pets-of-mine,passion,passion,true
these-pets-of-mine,rage,rage,true
yearning,Chapter 3,chapter-3,false
yearning,grief,grief,true
yearning,life,life,true
yearning,loss,loss,true
yearning,love,love,true
yearning,poetry,poetry,false
yearning,yearning,yearning,true
