source_type,published_date,title,slug,source_url,notes
post,2025-08-06,Prologue,prologue,https://dervendaur.substack.com/p/prologue,
post,2025-08-09,Map I: Eulogy to Unborn,map-i-eulogy-to-unborn,https://dervendaur.substack.com/p/map-i-eulogy-to-unborn,
post,2025-08-10,Paintbox,paintbox,https://dervendaur.substack.com/p/paintbox,
post,2025-08-11,These pets of mine,these-pets-of-mine,https://dervendaur.substack.com/p/these-pets-of-mine,
post,2025-08-12,Map II: Road That Only Goes Out,map-ii-road-that-only-goes-out,https://dervendaur.substack.com/p/map-li-road-that-only-goes-out,Published post title appears as “Map lI”
post,2025-08-14,Blue canary,blue-canary,https://dervendaur.substack.com/p/blue-canary,
post,2025-08-20,Overflow,overflow,https://dervendaur.substack.com/p/overflow,
post,2025-08-20,Koschei and the Prince,koschei-and-the-prince,https://dervendaur.substack.com/p/koschei-and-the-prince,
post,2025-08-22,Farmer and the One-Eyed Likho,farmer-and-the-one-eyed-likho,https://dervendaur.substack.com/p/farmer-and-the-one-eyed-likho,
post,2025-09-01,Yearning,yearning,https://dervendaur.substack.com/p/yearning,
post,2025-09-03,The gift,the-gift,https://dervendaur.substack.com/p/the-gift,
post,2025-09-11,Aivolved,aivolved,https://dervendaur.substack.com/p/aivolved,
post,2025-09-12,Linocut,linocut,https://dervendaur.substack.com/p/linocut,
post,2025-09-18,Leshy and the Hunter,leshy-and-the-hunter,https://dervendaur.substack.com/p/leshy-and-the-hunter,
post,2025-09-21,Blue curtain,blue-curtain,https://dervendaur.substack.com/p/blue-curtain,
post,2025-09-27,Map III: Skirmish on the Border,map-iii-skirmish-on-the-border,https://dervendaur.substack.com/p/map-iii-skirmish-on-the-borderline,
post,2025-10-02,"Fears, unlisted",fears-unlisted,https://dervendaur.substack.com/p/fears-unlisted,
post,2025-10-03,Autumn Prelude,autumn-prelude,https://dervendaur.substack.com/p/autumn-interlude,Table of contents calls it “Autumn Interlude”
post,2025-10-09,October Readme,october-readme,https://dervendaur.substack.com/p/october-readme,Substack post title is “October ReadMe”; subtitle is “May in October”
post,2025-10-14,Betrayal,betrayal,https://dervendaur.substack.com/p/betrayal,
post,2025-10-17,The other shoe,the-other-shoe,https://dervendaur.substack.com/p/the-other-shoe,
post,2025-10-23,Love in the C and D key,love-in-the-c-and-d-key,https://dervendaur.substack.com/p/love-in-the-c-and-d-key,
post,2025-10-27,A place,a-place,https://dervendaur.substack.com/p/a-place,
post,2025-11-04,Toil,toil,https://dervendaur.substack.com/p/toil,
post,2025-12-01,Shame is...,shame-is,https://dervendaur.substack.com/p/shame-is,
post,2025-12-03,Brittle,brittle,https://dervendaur.substack.com/p/brittle,
post,2025-12-10,Coffee shop,coffee-shop,https://dervendaur.substack.com/p/coffee-shop,
post,2025-12-24,Twelve Plates on Christmas Eve,twelve-plates-on-christmas-eve,https://dervendaur.substack.com/p/twelve-plates-on-christmas-eve,
post,2025-12-31,You age like milk,you-age-like-milk,https://dervendaur.substack.com/p/you-age-like-milk,
post,2026-01-23,Dark lessons,dark-lessons,https://dervendaur.substack.com/p/dark-lessons,
post,2026-01-24,Water skippers,water-skippers,https://dervendaur.substack.com/p/water-skippers,
post,2026-02-05,Riding the pain,riding-the-pain,https://dervendaur.substack.com/p/riding-the-pain,
post,2026-02-22,Blackberry bush,blackberry-bush,https://dervendaur.substack.com/p/blackberry-bush,
post,2026-02-28,A Spiral Under,a-spiral-under,https://dervendaur.substack.com/p/a-spiral-under,
post,2026-04-04,A Song of Home,a-song-of-home,https://dervendaur.substack.com/p/a-song-of-home,
post,2026-04-08,Catching salmon,catching-salmon,https://dervendaur.substack.com/p/catching-salmon,
post,2026-04-16,When the sky falls,when-the-sky-falls,https://dervendaur.substack.com/p/when-the-sky-falls,
post,2026-09-05,no north,no-north,https://dervendaur.substack.com/p/no-north,
post,2026-09-18,The iguana tree,the-iguana-tree,https://dervendaur.substack.com/p/the-iguana-tree,
note,2026-01-04,Breathe in the colours,breathe-in-the-colours,https://substack.com/@dervendaur/note/c-195074802,Visual poem published as an image-only Note
note,2026-01-11,Thoughts keep on buzzing,thoughts-keep-on-buzzing,https://substack.com/@dervendaur/note/c-198452885,Title taken from the opening line
note,2026-01-15,Work slips,work-slips,https://substack.com/@dervendaur/note/c-200361321,Title taken from the opening line
note,2026-01-20,Scroll to another reel,scroll-to-another-reel,https://substack.com/@dervendaur/note/c-202485317,Also published as duplicate Note c-202485477
reply,2026-03-20,The Felling of the Good Tree,the-felling-of-the-good-tree,https://substack.com/@dervendaur/note/c-230548011,Recovered from the Replies feed; refers to Shajareh Tayyebeh school in Minab
note,2026-03-14,The Heirs,the-heirs,https://substack.com/@dervendaur/note/c-227680296,
note,2026-03-28,Legacy,legacy,https://substack.com/@dervendaur/note/c-234798606,
note,2026-09-10,"Recurrency",birth-below-earth-roots-grow-slow,https://substack.com/@dervendaur/note/c-334275737,Title assigned for the collection
note,2026-09-10,Silence is the smallest poem,silence-is-the-smallest-poem,https://substack.com/@dervendaur/note/c-334259822,Includes the parenthetical “on the nature of recursion”
